City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Lompoc,US,2020-09-13 20:36:02,34.64,-120.46,66.99,72,1,10.29,haze
189,Jalu,LY,2020-09-13 20:31:25,29.03,21.55,88.57,26,0,15.14,clear sky
190,Bethel,US,2020-09-13 20:36:02,41.37,-73.41,73.99,64,75,9.17,broken clouds
191,Nouadhibou,MR,2020-09-13 20:36:02,20.93,-17.03,86.0,58,71,9.17,broken clouds
192,Jakar,BT,2020-09-13 20:36:03,27.55,90.75,58.84,75,99,1.19,overcast clouds
193,Mahebourg,MU,2020-09-13 20:36:03,-20.41,57.7,71.6,78,75,10.29,shower rain
194,Nuuk,GL,2020-09-13 20:36:03,64.18,-51.72,39.2,51,0,8.05,clear sky
195,Yeppoon,AU,2020-09-13 20:36:03,-23.13,150.73,64.4,82,40,6.93,scattered clouds
196,Waw,SS,2020-09-13 20:36:03,7.7,28.0,70.43,97,96,4.29,overcast clouds
197,Grindavik,IS,2020-09-13 20:36:03,63.84,-22.43,44.6,87,75,10.29,broken clouds
198,Caravelas,BR,2020-09-13 20:36:03,-17.71,-39.25,73.49,83,97,7.92,overcast clouds
199,Marsh Harbour,BS,2020-09-13 20:35:23,26.54,-77.06,84.11,67,100,8.68,overcast clouds
200,Kyotera,UG,2020-09-13 20:36:04,-0.62,31.52,68.77,55,16,2.46,few clouds
201,Champerico,GT,2020-09-13 20:36:04,14.3,-91.92,68.0,94,61,9.06,broken clouds
202,Cobija,BO,2020-09-13 20:36:04,-11.03,-68.77,97.83,28,27,2.21,scattered clouds
203,Halifax,CA,2020-09-13 20:31:36,44.65,-63.57,64.99,80,64,8.01,broken clouds
204,Mbini,GQ,2020-09-13 20:36:05,1.57,9.61,78.8,94,40,5.82,scattered clouds
205,Cabo San Lucas,MX,2020-09-13 20:33:43,22.89,-109.91,88.0,70,40,11.41,scattered clouds
206,Port Lincoln,AU,2020-09-13 20:36:05,-34.73,135.87,52.52,89,3,5.01,clear sky
207,Gondar,ET,2020-09-13 20:36:05,12.6,37.47,57.85,75,33,3.53,scattered clouds
208,Soe,ID,2020-09-13 20:36:05,-9.86,124.28,60.17,75,1,3.87,clear sky
209,Axim,GH,2020-09-13 20:36:05,4.87,-2.24,75.63,91,85,8.5,overcast clouds
210,Udachnyy,RU,2020-09-13 20:36:05,66.42,112.4,41.0,86,0,4.47,clear sky
211,Ogaminana,NG,2020-09-13 20:36:06,7.59,6.22,72.77,94,93,4.68,overcast clouds
212,Hobyo,SO,2020-09-13 20:36:06,5.35,48.53,78.49,81,78,21.83,broken clouds
213,Abay,KZ,2020-09-13 20:36:06,49.63,72.85,39.2,80,98,4.47,overcast clouds
214,Laguna,US,2020-09-13 20:36:07,38.42,-121.42,80.6,39,90,5.75,haze
215,Porosozero,RU,2020-09-13 20:36:07,62.72,32.73,45.19,89,5,11.03,clear sky
216,Kolosovka,RU,2020-09-13 20:36:07,56.47,73.61,51.35,85,76,1.63,broken clouds
217,Dikson,RU,2020-09-13 20:36:07,73.51,80.55,45.66,90,69,19.95,broken clouds
218,Dingle,PH,2020-09-13 20:36:07,11.0,122.67,76.68,92,70,4.97,very heavy rain
219,Biloela,AU,2020-09-13 20:36:07,-24.42,150.5,61.38,84,2,7.58,clear sky
220,Nikel,RU,2020-09-13 20:32:06,69.41,30.22,46.4,87,75,5.82,broken clouds
221,Kjollefjord,NO,2020-09-13 20:36:07,70.95,27.35,46.4,93,75,3.36,broken clouds
222,Valday,RU,2020-09-13 20:36:08,57.97,33.25,48.07,82,0,10.6,clear sky
223,Torbay,CA,2020-09-13 20:31:08,47.67,-52.73,61.0,48,75,5.82,broken clouds
224,Paamiut,GL,2020-09-13 20:36:08,61.99,-49.67,37.13,71,0,3.78,clear sky
225,Lorengau,PG,2020-09-13 20:36:08,-2.02,147.27,82.36,80,96,11.99,overcast clouds
226,Abalak,RU,2020-09-13 20:36:08,58.13,68.59,45.03,96,82,2.37,broken clouds
227,Farafangana,MG,2020-09-13 20:36:08,-22.82,47.83,69.28,85,27,6.22,light rain
228,Coahuayana,MX,2020-09-13 20:36:09,18.73,-103.68,82.4,74,75,11.41,broken clouds
229,Alofi,NU,2020-09-13 20:36:09,-19.06,-169.92,75.2,60,75,18.34,broken clouds
230,Kapaa,US,2020-09-13 20:36:09,22.08,-159.32,84.2,66,75,12.75,broken clouds
231,Palmer,US,2020-09-13 20:33:20,42.16,-72.33,73.99,60,75,6.93,broken clouds
232,Kandla,IN,2020-09-13 20:36:09,23.03,70.22,86.36,71,100,9.31,light rain
233,Valdosta,US,2020-09-13 20:36:06,30.83,-83.28,87.8,66,20,12.75,few clouds
234,Chuy,UY,2020-09-13 20:36:09,-33.7,-53.46,58.17,97,100,8.75,overcast clouds
235,Sangolqui,EC,2020-09-13 20:36:09,-0.33,-78.45,75.2,27,40,12.75,scattered clouds
236,Ilulissat,GL,2020-09-13 20:31:59,69.22,-51.1,30.2,54,5,4.7,clear sky
237,Fairbanks,US,2020-09-13 20:35:52,64.84,-147.72,50.0,57,1,3.36,haze
238,Betsiamites,CA,2020-09-13 20:36:10,48.94,-68.65,68.0,72,75,4.7,moderate rain
239,Ugoofaaru,MV,2020-09-13 20:36:10,5.67,73.0,82.36,76,100,10.78,overcast clouds
240,Luderitz,NA,2020-09-13 20:36:10,-26.65,15.16,56.57,65,0,23.26,clear sky
241,Leningradskiy,RU,2020-09-13 20:36:11,69.38,178.42,42.15,81,100,1.74,overcast clouds
242,Amapa,BR,2020-09-13 20:36:11,1.0,-52.0,86.14,58,100,4.81,light rain
243,Puerto Escondido,MX,2020-09-13 20:36:11,15.85,-97.07,87.8,58,75,5.82,broken clouds
244,Suez,EG,2020-09-13 20:36:11,29.97,32.53,76.89,79,0,10.63,clear sky
245,Kaberamaido,UG,2020-09-13 20:36:11,1.74,33.16,68.2,84,34,3.98,light rain
246,Rodrigues Alves,BR,2020-09-13 20:36:12,-7.74,-72.65,84.2,74,75,6.93,thunderstorm
247,Newport,GB,2020-09-13 20:33:42,51.59,-3.0,63.0,85,0,6.98,clear sky
248,Cherskiy,RU,2020-09-13 20:36:12,68.75,161.3,45.37,64,0,6.51,clear sky
249,Ayacucho,PE,2020-09-13 20:36:12,-13.16,-74.22,68.63,33,43,10.25,scattered clouds
250,Innisfail,AU,2020-09-13 20:36:12,-17.53,146.03,60.01,99,86,4.0,moderate rain
251,Mitsamiouli,KM,2020-09-13 20:36:12,-11.38,43.28,77.02,80,9,1.95,clear sky
252,Itaituba,BR,2020-09-13 20:36:12,-4.28,-55.98,96.8,44,20,1.05,few clouds
253,Seoul,KR,2020-09-13 20:33:36,37.57,126.98,64.4,93,1,2.71,clear sky
254,Talnakh,RU,2020-09-13 20:36:13,69.49,88.4,51.8,93,40,11.18,scattered clouds
255,Azare,NG,2020-09-13 20:36:13,11.68,10.19,77.95,67,59,6.2,broken clouds
256,Isangel,VU,2020-09-13 20:36:13,-19.55,169.27,73.4,83,90,5.82,overcast clouds
257,North Bend,US,2020-09-13 20:34:54,43.41,-124.22,72.0,100,90,4.7,smoke
258,Porto Real,BR,2020-09-13 20:36:13,-22.42,-44.29,77.16,39,0,4.52,clear sky
259,Vestmannaeyjar,IS,2020-09-13 20:36:13,63.44,-20.27,46.4,81,75,19.46,broken clouds
260,Pangai,TO,2020-09-13 20:36:14,-19.8,-174.35,71.6,64,75,13.87,broken clouds
261,Lasa,IT,2020-09-13 20:36:14,46.62,10.7,60.8,87,5,2.24,clear sky
262,Salalah,OM,2020-09-13 20:36:14,17.02,54.09,80.6,88,75,4.7,broken clouds
263,Plettenberg Bay,ZA,2020-09-13 20:36:15,-34.05,23.37,56.5,60,0,11.12,clear sky
264,Kahului,US,2020-09-13 20:35:41,20.89,-156.47,89.6,38,20,18.34,few clouds
265,Anloga,GH,2020-09-13 20:36:15,5.79,0.9,77.0,83,20,10.29,few clouds
266,Hof,DE,2020-09-13 20:36:15,50.32,11.92,61.0,65,100,1.16,overcast clouds
267,Ahuimanu,US,2020-09-13 20:36:15,21.44,-157.84,84.2,58,20,10.29,few clouds
268,Hobbs,US,2020-09-13 20:33:03,32.7,-103.14,80.6,39,20,9.17,few clouds
269,Hit,IQ,2020-09-13 20:36:15,33.64,42.83,93.87,14,1,12.28,clear sky
